,price,points,variety,winery,province,country,lat,lng
0,85,97,Cabernet Sauvignon,Abeja,Washington,US,,
1,130,97,Cabernet Sauvignon,Alpha Omega,California,US,,
2,125,97,Sangiovese,Altesino,Tuscany,Italy,,
3,115,97,Red Blend,Antinori,Tuscany,Italy,,
4,90,97,Pinot Noir,Arista,California,US,,
5,120,97,Bordeaux-style Red Blend,Arkenstone,California,US,,
6,250,97,Cabernet Sauvignon,Au Sommet,California,US,,
7,170,97,White Blend,Avignonesi,Tuscany,Italy,,
8,55,97,Cabernet Sauvignon,Betz Family,Washington,US,,
9,60,97,Cabernet Sauvignon,Betz Family,Washington,US,,
10,68,97,Cabernet Sauvignon,Betz Family,Washington,US,,
11,85,97,Cabernet Sauvignon,Black Coyote,California,US,,
12,90,97,Bordeaux-style Red Blend,Blackbird Vineyards,California,US,,
13,120,97,Malbec,Bodega Catena Zapata,Mendoza Province,Argentina,,
14,88,97,Monastrell,Bodegas Guti̩rrez de la Vega,Levante,Spain,,
15,250,97,Tempranillo,Bodegas Roda,Northern Spain,Spain,,
16,260,97,Champagne Blend,Bollinger,Champagne,France,,
17,275,97,Bordeaux-style Red Blend,BOND,California,US,,
18,55,97,Red Blend,Buty,Washington,US,,
19,85,97,Muscat,Campbells,Victoria,Australia,,
20,97,97,Muscat,Campbells,Victoria,Australia,,
21,85,97,Tokay,Campbells,Victoria,Australia,,
22,55,97,Sangiovese Grosso,Capanna,Tuscany,Italy,,
23,250,97,Cabernet Sauvignon,Cardinale,California,US,,
24,79,97,Sangiovese Grosso,Casanova di Neri,Tuscany,Italy,,
25,80,97,Sangiovese Grosso,Casanova di Neri,Tuscany,Italy,,
26,180,97,Merlot,Castello di Ama,Tuscany,Italy,,
27,130,97,Cabernet Sauvignon,Caymus,California,US,,
28,136,97,Cabernet Sauvignon,Caymus,California,US,,
29,80,97,Cabernet Sauvignon,Cayuse,Oregon,US,,
30,70,97,Syrah,Cayuse,Oregon,US,,
31,85,97,Syrah,Cayuse,Oregon,US,,
32,145,97,Bordeaux-style Red Blend,Ch̢teau Cos d'Estournel,Bordeaux,France,,
33,90,97,Bordeaux-style Red Blend,Ch̢teau Figeac,Bordeaux,France,,
34,330,97,Bordeaux-style Red Blend,Ch̢teau Haut-Brion,Bordeaux,France,,
35,1100,97,Bordeaux-style Red Blend,Ch̢teau La Mission Haut-Brion,Bordeaux,France,,
36,698,97,Bordeaux-style White Blend,Ch̢teau La Mission Haut-Brion,Bordeaux,France,,
37,150,97,Bordeaux-style Red Blend,Ch̢teau L̩oville Las Cases,Bordeaux,France,,
38,190,97,Bordeaux-style Red Blend,Ch̢teau L̩oville Las Cases,Bordeaux,France,,
39,345,97,Bordeaux-style Red Blend,Ch̢teau Lafite Rothschild,Bordeaux,France,,
40,660,97,Bordeaux-style Red Blend,Ch̢teau Latour,Bordeaux,France,,
41,300,97,Bordeaux-style Red Blend,Ch̢teau Margaux,Bordeaux,France,,
42,450,97,Bordeaux-style Red Blend,Ch̢teau Margaux,Bordeaux,France,,
43,90,97,Bordeaux-style White Blend,Ch̢teau Suduiraut,Bordeaux,France,,
44,170,97,Bordeaux-style Red Blend,Ch̢teau Troplong Mondot,Bordeaux,France,,
45,300,97,Muscadel,Chambers Rosewood Vineyards,Victoria,Australia,,
46,120,97,Syrah,Charles Smith,Washington,US,,
47,85,97,Pinot Noir,Cobb,California,US,,
48,140,97,Bordeaux-style Red Blend,Continuum,California,US,,
49,175,97,Cabernet Sauvignon,Diamond Creek,California,US,,
50,281,97,Pinot Noir,Domaine Bruno Clair,Burgundy,France,,
51,100,97,Bordeaux-style White Blend,Domaine de Chevalier,Bordeaux,France,,
52,96,97,Syrah,Domaine Jamet,Rh̫ne Valley,France,,
53,410,97,Chardonnay,Domaine Leflaive,Burgundy,France,,
54,430,97,Chardonnay,Domaine Leflaive,Burgundy,France,,
55,451,97,Chardonnay,Domaine Leflaive,Burgundy,France,,
56,550,97,Chardonnay,Domaine Leflaive,Burgundy,France,,
57,574,97,Chardonnay,Domaine Leflaive,Burgundy,France,,
58,269,97,Pinot Gris,Domaine Zind-Humbrecht,Alsace,France,,
59,250,97,Riesling,Dr. Pauly Bergweiler,Mosel-Saar-Ruwer,Germany,,
60,50,97,Chardonnay,Dutton-Goldfield,California,US,,
61,150,97,Tinto Fino,Emilio Moro,Northern Spain,Spain,,
62,180,97,Tinto Fino,Emilio Moro,Northern Spain,Spain,,
63,42,97,Chardonnay,Failla,California,US,,
64,60,97,Pinot Noir,Failla,California,US,,
65,70,97,Pinot Noir,Failla,California,US,,
66,100,97,Merlot,Fattoria Petrolo,Tuscany,Italy,,
67,70,97,Chardonnay,Flowers,California,US,,
68,210,97,Nebbiolo,Gaja,Piedmont,Italy,,
69,215,97,Nebbiolo,Gaja,Piedmont,Italy,,
70,190,97,Cabernet Sauvignon,Gandona,California,US,,
71,245,97,Riesling,Geh. Rat Dr. von Bassermann-Jordan,Pfalz,Germany,,
72,75,97,Pinot Noir,Goldeneye,California,US,,
73,85,97,Cabernet Sauvignon,Goldschmidt,California,US,,
74,150,97,Bordeaux-style Red Blend,Harlan Estate,California,US,,
75,185,97,Champagne Blend,Henriot,Champagne,France,,
76,100,97,Cabernet Sauvignon,Hestan,California,US,,
77,189,97,Sparkling Blend,Iron Horse,California,US,,
78,135,97,Cabernet Sauvignon,Janzen,California,US,,
79,130,97,Cabernet Sauvignon,Jarvis,California,US,,
80,150,97,Cabernet Sauvignon,JCB,California,US,,
81,639,97,Pinot Noir,Joseph Drouhin,Burgundy,France,,
82,200,97,Bordeaux-style Red Blend,Joseph Phelps,California,US,,
83,200,97,Bordeaux-style Red Blend,Joseph Phelps,California,US,,
84,225,97,Cabernet Sauvignon,Joseph Phelps,California,US,,
85,52,97,Pinot Noir,Joseph Swan Vineyards,California,US,,
86,70,97,Syrah,K Vintners,Washington,US,,
87,65,97,Pinot Noir,Ken Wright,Oregon,US,,
88,125,97,Bordeaux-style Red Blend,Kendall-Jackson,California,US,,
89,90,97,Chardonnay,Kracher,Burgenland,Austria,,
90,111,97,Chardonnay,Kracher,Burgenland,Austria,,
91,125,97,Scheurebe,Kracher,Burgenland,Austria,,
92,70,97,Cabernet Sauvignon,Krutz,California,US,,
93,65,97,Cabernet Sauvignon,Lancaster,California,US,,
94,130,97,Cabernet Franc,Le Macchiole,Tuscany,Italy,,
95,315,97,Merlot,Le Macchiole,Tuscany,Italy,,
96,160,97,Syrah,Le Macchiole,Tuscany,Italy,,
97,110,97,Cabernet Blend,Leonetti Cellar,Washington,US,,
98,85,97,Cabernet Sauvignon,Leonetti Cellar,Washington,US,,
99,88,97,Cabernet Sauvignon,Leonetti Cellar,Washington,US,,
